classification,mean_pnl,win_rate,trades
Extreme Greed,25.418772159436944,0.49008905486929044,6962
Fear,50.047621894017375,0.41514592406122314,133871
Greed,87.8948589207749,0.44647138251260715,36289
Neutral,22.229712656210616,0.3171824674415348,7141
